year,champion,picks,pick_games,ban_games,pick_rate,ban_rate,banpick_rate,wins,winrate,reliable
2024,Ashe,75,75,276,15.6,57.3,72.8,40,53.3,True
2024,Kalista,80,80,266,16.6,55.2,71.8,48,60.0,True
2024,Senna,88,88,247,18.3,51.2,69.5,59,67.0,True
2024,Vi,115,115,217,23.9,45.0,68.9,65,56.5,True
2024,Sejuani,167,167,165,34.6,34.2,68.9,77,46.1,True
2024,Rumble,69,69,253,14.3,52.5,66.8,39,56.5,True
2024,K'Sante,199,199,122,41.3,25.3,66.6,109,54.8,True
2024,Maokai,127,127,184,26.3,38.2,64.5,74,58.3,True
2024,Corki,177,177,116,36.7,24.1,60.8,88,49.7,True
2024,Rell,159,159,85,33.0,17.6,50.6,82,51.6,True
2024,Azir,166,166,77,34.4,16.0,50.4,79,47.6,True
2024,Nautilus,120,120,122,24.9,25.3,50.2,56,46.7,True
2024,Taliyah,124,124,106,25.7,22.0,47.7,66,53.2,True
2024,Lucian,97,97,132,20.1,27.4,47.5,51,52.6,True
2024,Tristana,107,107,118,22.2,24.5,46.7,49,45.8,True
2024,Varus,89,89,119,18.5,24.7,43.2,44,49.4,True
2024,Zeri,149,149,59,30.9,12.2,43.2,76,51.0,True
2024,Rakan,111,111,90,23.0,18.7,41.7,52,46.8,True
2024,Renekton,85,85,108,17.6,22.4,40.0,36,42.4,True
2024,Leona,96,96,89,19.9,18.5,38.4,42,43.8,True
2024,Orianna,57,57,122,11.8,25.3,37.1,31,54.4,True
2024,Alistar,99,99,78,20.5,16.2,36.7,58,58.6,True
2024,Ezreal,95,95,82,19.7,17.0,36.7,46,48.4,True
2024,Poppy,73,73,99,15.1,20.5,35.7,35,47.9,True
2024,Lee Sin,82,82,72,17.0,14.9,32.0,38,46.3,True
2024,Aatrox,109,109,39,22.6,8.1,30.7,54,49.5,True
2024,Gnar,102,102,45,21.2,9.3,30.5,48,47.1,True
2024,Yone,73,73,66,15.1,13.7,28.8,38,52.1,True
2024,Nidalee,48,48,72,10.0,14.9,24.9,28,58.3,True
2024,Jax,68,68,45,14.1,9.3,23.4,30,44.1,True
2024,Twisted Fate,37,37,73,7.7,15.1,22.8,24,64.9,True
2024,Renata Glasc,47,47,61,9.8,12.7,22.4,22,46.8,True
2024,Viego,68,68,38,14.1,7.9,22.0,35,51.5,True
2024,Smolder,56,56,49,11.6,10.2,21.8,28,50.0,True
2024,Udyr,58,58,41,12.0,8.5,20.5,25,43.1,True
2024,LeBlanc,24,24,69,5.0,14.3,19.3,13,54.2,True
2024,Kai'Sa,59,59,31,12.2,6.4,18.7,23,39.0,True
2024,Karma,46,46,37,9.5,7.7,17.2,18,39.1,True
2024,Hwei,44,44,35,9.1,7.3,16.4,19,43.2,True
2024,Xin Zhao,57,57,22,11.8,4.6,16.4,26,45.6,True
2024,Skarner,53,53,25,11.0,5.2,16.2,30,56.6,True
2024,Ziggs,38,38,32,7.9,6.6,14.5,22,57.9,True
2024,Ivern,25,25,44,5.2,9.1,14.3,12,48.0,True
2024,Zyra,39,39,28,8.1,5.8,13.9,17,43.6,True
2024,Jayce,26,26,38,5.4,7.9,13.3,15,57.7,True
2024,Braum,29,29,34,6.0,7.1,13.1,12,41.4,True
2024,Milio,44,44,19,9.1,3.9,13.1,17,38.6,True
2024,Ahri,33,33,29,6.8,6.0,12.9,19,57.6,True
2024,Xayah,46,46,15,9.5,3.1,12.7,14,30.4,True
2024,Nocturne,20,20,41,4.1,8.5,12.7,8,40.0,True
2024,Nami,58,58,1,12.0,0.2,12.2,33,56.9,True
2024,Miss Fortune,36,36,20,7.5,4.1,11.6,15,41.7,True
2024,Lulu,31,31,25,6.4,5.2,11.6,13,41.9,True
2024,Lillia,28,28,25,5.8,5.2,11.0,13,46.4,True
2024,Jhin,39,39,14,8.1,2.9,11.0,19,48.7,True
2024,Kennen,36,36,16,7.5,3.3,10.8,15,41.7,True
2024,Caitlyn,20,20,29,4.1,6.0,10.2,11,55.0,True
2024,Tahm Kench,39,39,9,8.1,1.9,10.0,24,61.5,True
2024,Aphelios,35,35,9,7.3,1.9,9.1,16,45.7,True
2024,Neeko,20,20,17,4.1,3.5,7.7,15,75.0,True
2024,Akali,19,19,16,3.9,3.3,7.3,8,42.1,True
2024,Ornn,26,26,6,5.4,1.2,6.6,17,65.4,True
2024,Aurora,13,13,18,2.7,3.7,6.4,8,61.5,True
2024,Rek'Sai,14,14,14,2.9,2.9,5.8,6,42.9,True
2024,Camille,18,18,10,3.7,2.1,5.8,9,50.0,True
2024,Draven,17,17,10,3.5,2.1,5.6,6,35.3,True
2024,Brand,16,16,11,3.3,2.3,5.6,6,37.5,True
2024,Jinx,17,17,10,3.5,2.1,5.6,7,41.2,True
2024,Nasus,9,9,14,1.9,2.9,4.8,4,44.4,False
2024,Aurelion Sol,18,18,3,3.7,0.6,4.4,8,44.4,True
2024,Yasuo,6,6,14,1.2,2.9,4.1,3,50.0,False
2024,Bard,12,12,7,2.5,1.5,3.9,7,58.3,True
2024,Seraphine,17,17,2,3.5,0.4,3.9,5,29.4,True
2024,Gwen,16,16,2,3.3,0.4,3.7,6,37.5,True
2024,Gangplank,12,12,5,2.5,1.0,3.5,9,75.0,True
2024,Jarvan IV,8,8,9,1.7,1.9,3.5,3,37.5,False
2024,Wukong,7,7,8,1.5,1.7,3.1,3,42.9,False
2024,Blitzcrank,9,9,5,1.9,1.0,2.9,8,88.9,False
2024,Nilah,6,6,6,1.2,1.2,2.5,2,33.3,False
